id,jobPosition,number,workAddr,educationNorm,specialtyNorm,postNum,deptName
7DDC3FCD-A73F-4FA9-9E2C-639CA682F64B,开发地质博士岗（一）,1,北京,博士研究生,开发地质、油气田开发工程、地质资源与地质工程、矿产普查与勘探、油藏地质等,1,石油勘探开发研究院
E2C289C2-D72E-4DF7-AA76-C8E567E2BBA3,地球物理博士岗（一）,1,北京,博士研究生,地球物理学、应用地球物理、固体地球物理学、地球探测与信息技术、地质资源与地质工程、矿产普查与勘探等,1,石油勘探开发研究院
792C06E5-1FA0-4DCD-A4FC-EA7EC800C965,地质力学建模分析,2,北京,博士研究生,油气井工程、油气田开发工程、理论与应用力学、工程力学、一般力学与力学基础、固体力学、流体力学、钻探技术、岩土工程技术、钻井技术、油气开采技术、油田化学应用技术、石油工程技术、石油工程、海洋油气工程、岩土工程技术、岩土工程、地球物理学、油气地质勘探技术、地质工程、勘查技术与工程、资源勘查工程、工程地质勘查、矿山地质、地球物理勘探技术、环境地质工程等,3,石油工程技术研究院
A8070B51-9F9B-4416-AA5D-02B68E3C2131,海洋油气工程岗1,1,海外/北京,博士研究生,海洋油气工程,2,国际石油勘探公司
D454880E-7A70-4E6E-98DD-B40CFBFCBE3B,完井工艺,1,北京,博士研究生,油气田开发工程、油气井工程、石油工程技术、钻井技术、石油工程、石油与天然气工程类其他专业、油气开采技术、油气储运技术、油气地质勘探技术、油田化学应用技术、海洋油气工程、钻探技术等,2,石油工程技术研究院
F9E125C0-26E1-4C1D-ABAA-FA6EDB33DE62,油气地质博士岗（一）,1,北京,博士研究生,地质学、沉积学、矿物学岩石学矿床学、层序地层学、构造地质学、石油地质、矿产普查与勘探、地质资源与地质工程等,2,石油勘探开发研究院
877D7FFA-0BE5-4F7C-908C-4142DFC4A246,钻井流体研发A岗,2,北京,博士研究生,分子科学与工程、油田化学应用技术、化学工程与工艺、能源化学工程、材料物理与化学、材料科学与工程、材料物理、材料化学、化学、应用化学、分子科学与工程、能源化学、分析化学、有机化学、物理化学（含：化学物理）、高分子化学与物理、化学工程、化学工艺、油气井工程、油气田开发工程、钻井技术、油气开采技术、石油工程技术、石油工程、海洋油气工程、钻探技术、油气地质勘探技术等,6,石油工程技术研究院
4A4045F2-A933-4B2F-8065-A425906EE8B3,生产操作岗（三地生）,60,新疆 乌鲁木齐,大专（高职）,应用化工技术、精细化工技术、石油化工技术、煤化工技术、高分子合成技术、分析检验技术、化工智能制造技术、化学制药技术、药品生产技术、光伏材料制备技术、硅材料制备技术、化工安全技术、环境监测技术、油气储运技术等专业,164,南京化工公司
4E4CADCB-2E8C-4B77-8FFA-6B4FB114EFEF,油气藏数值模拟研发B岗,1,北京,博士研究生,油气井工程、油气田开发工程、石油工程技术、钻井技术、石油工程、石油与天然气工程、油气开采技术、油气储运技术、油气地质勘探技术、油田化学应用技术、海洋油气工程、钻探技术、计算数学、应用数学、数学与应用数学、信息与计算科学、数据科学与大数据技术、大数据技术与应用等,3,石油工程技术研究院
6D698AE9-F3A2-438A-B825-1F94A443172D,油田化学硕士岗,1,北京,硕士研究生,油田化学、化学、石油地质等,4,石油勘探开发研究院
71DE03D9-3653-49D3-833D-2A18539B00FF,生产操作岗（B）,105,福建 漳州,大专（高职）,应用化工技术、精细化工技术、石油化工技术、煤化工技术、高分子合成技术、分析检验技术、化工智能制造技术、化学制药技术、药品生产技术、化工安全技术、环境监测技术、油气储运技术等专业,333,南京化工公司
CD869AFC-BABE-4EDB-98B8-9DF60D4284EA,勘探开发工程研究岗（博研）,5,吉林省长春市及周边,博士研究生,矿产普查与勘探、地质学、矿物学岩石学矿床学、构造地质学、油气田开发地质、地质工程、油气地球物理工程、油气资源与地质工程、地球探测与信息技术、地球物理学、石油与天然气工程、油气井工程、油气田开发工程、油气储运工程等油气勘探、开发、工程类相关专业。,16,东北石油局
8F0F9550-0D86-42EE-8778-796CC2BD0CA7,油田化学研究B岗,2,北京,博士研究生,化学、化学工艺、化学生物学、分子科学与工程、能源化学、分析化学、物理化学（含：化学物理）、应用化学、油田化学应用技术、高分子化学与物理、有机化学、材料科学与工程、化学工程与工艺、材料化学、能源化学工程、材料物理与化学、材料物理、无机非金属材料工程、高分子材料与工程、复合材料与工程、材料学等,7,石油工程技术研究院
13E0FC84-1245-423D-9DF7-34E64B2747DE,钻完井设计,2,北京,硕士研究生,石油工程技术、钻井技术、石油工程、油气井工程、油气田开发工程、石油与天然气工程类其他专业、油气开采技术、油气储运技术、油气地质勘探技术、油田化学应用技术、海洋油气工程、钻探技术等,7,石油工程技术研究院
1BFBD53F-3F65-4C1D-95E6-1BFC4A1EA37F,炼厂智能化研发岗B,2,北京,博士研究生,化学工程、化学工艺、应用化学、系统工程、模式识别与智能系统、计算数学、应用数学、运筹学与控制论等,7,石油化工科学研究院
3218E890-7043-42F7-BA06-7B374BE1C042,电气与电气新能源设计B岗,3,北京或国内外项目现场,硕士研究生,电气工程、电力系统及其自动化、电力电子与电力传动、高电压与绝缘技术、电机与电器、电工理论与新技术、新能源科学与工程（电力系统方向）、可再生能源与清洁能源（新能源储能一体化技术 、新能源装备及系统技术）、储能科学与工程（储能与新型电力系统 、电化学储能材料与系统）、氢能科学与工程 （电解制氢原理与技术方向）及其他与炼化工程电气与电气新能源设计密切相关的专业。,11,工程建设公司
A55D0147-B59C-409A-B8E2-9DF58248A92D,"炼油化工研究
（北京生源博士）",3,北京,博士研究生,化学、化学工程、化学工艺、化学工程与技术、应用化学、有机化学、高分子化学、物理化学、石油炼制技术、石油化工技术、石油加工、有机化工、材料化学、高分子材料、材料化学与工程、化工材料、能源化工、能源经济、能源与可持续发展、石油储运、石油工程、石油与天然气工程、石油工程技术、石油炼制、工业自动化、控制工程等相关专业,11,经济技术研究院
0AEE5A11-BC03-41CA-B9FD-0512E84E629A,地球物理勘探博士A岗,10,江苏南京,博士研究生,固体地球物理学、地球物理学、地球探测与信息技术、地质资源与地质工程（物探方向）、地质工程（物探方向）、油气人工智能等专业,37,石油物探技术研究院
E7A553FB-1C5A-499E-93F8-E75306ADD498,焊接技能操作岗,10,项目所在地,大专（高职）,焊接技术及自动化；智能焊接技术等相关专业,37,南京工程公司
C6B584ED-4CFC-4914-9C57-609960AC575F,炼油化工装置生产操作岗,310,湖南省岳阳市,大专（高职）,石油化工技术、应用化工技术、精细化工技术、石油炼制技术、煤化工技术、高分子材料工程技术、高分子材料应用技术、高分子材料加工技术、高分子合成技术、材料工程技术、化学制药技术、生化制药技术、林产化工技术、有机化工生产技术、工业分析技术、机械设计与制造、化工装备技术、化工设备维修技术、机械制造及其自动化等相关专业,1159,巴陵石化
96E93D0B-C419-406F-9E32-AE1AA01472AC,工艺设计技术B岗,4,北京或国内外项目现场,硕士研究生,化学工程与技术、化学工艺、化学工程、应用化学、高分子化学、高分子物理、高分子材料、材料科学与工程（高分子方向）、高分子材料与工程、材料与化工（高分子方向）、热能工程、能源与动力工程、环境与能源工程、能源科学与工程、工程热物理、安全科学与工程、安全技术与工程、安全工程、安全检测及其他与炼化工程工艺设计密切相关的新能源、新材料、新工艺专业。,16,工程建设公司
C7B05F2F-75D5-49EA-936B-8157487B97CA,地球物理勘探博士B岗,2,江苏南京（参加工作前三年每年3-6个月在乌鲁木齐）,博士研究生,固体地球物理学、地球物理学、地球探测与信息技术、地质资源与地质工程（物探方向）、地质工程（物探方向）、海洋地质等专业,8,石油物探技术研究院
